lat,lng,label
38.65535,-121.52592,Sacramento (Del Paso)
38.66041,-121.3571,Sacramento (Madison)
38.63683,-121.50424,Sacramento (Truxel)
36.67993,-121.6409,Salinas
29.49497,-98.7085,San Antonio
29.64852,-98.44978,San Antonio
34.10794,-117.30054,San Bernardino (5th Street)
34.06638,-117.26181,San Bernardino (Tippecanoe)
37.51288,-122.25859,San Carlos
32.75191,-117.20527,San Diego (Sports Arena Blvd.)
34.27802,-118.45306,San Fernando
37.80773,-122.41858,San Francisco
37.3503,-121.92187,San Jose
37.33009,-121.81133,San Jose (Capitol & Tully)
37.24904,-121.85943,San Jose (Santa Teresa Blvd.)
37.68697,-122.13113,San Leandro
33.13718,-117.17717,San Marcos
29.89218,-97.91448,San Marcos
33.75336,-118.30862,San Pedro
37.77914,-121.97702,San Ramon
33.7523,-117.88474,Santa Ana (Bristol & Civic Center)
33.70036,-117.8851,Santa Ana (Macarthur)
37.388,-121.98201,Santa Clara
34.42546,-118.53924,Santa Clarita (Bouquet Canyon)
34.42368,-118.42316,Santa Clarita (Sand Canyon)
33.93957,-118.04684,Santa Fe Springs
34.93734,-120.41884,Santa Maria
37.101,-121.0146,Santa Nella
38.46063,-122.72527,Santa Rosa
32.83901,-116.99388,Santee
33.63651,-111.91983,Scottsdale
33.78222,-118.07251,Seal Beach
36.60592,-121.85847,Seaside
34.1521,-118.44831,Sherman Oaks
33.81199,-118.18333,Signal Hill
34.28305,-118.69094,Simi Valley
33.95274,-118.18831,South Gate
39.53557,-119.75259,Sparks
37.98471,-121.34561,Stockton
34.13508,-118.36062,Studio City
37.36097,-122.02497,Sunnyvale
33.47588,-117.12363,Temecula (Highway 79)
33.51498,-117.159,Temecula (Jefferson Ave.)
33.4349,-111.92543,Tempe
34.09244,-118.03846,Temple City
33.07076,-96.87604,The Colony
33.81566,-116.40139,Thousand Palms
33.84883,-118.35312,Torrance
33.83114,-118.28839,Torrance (Carson St.)
33.80279,-118.32835,Torrance (Crenshaw & Lomita)
37.76184,-121.43377,Tracy
32.22177,-110.84038,Tucson
32.29045,-110.97786,Tucson
32.17825,-110.94288,Tucson
32.222,-110.91414,Tucson (Broadway)
34.24106,-118.26655,Tujunga
37.5205,-120.8817,Turlock
33.72286,-117.79367,Tustin
33.69499,-117.82708,Tustin (District)
39.16879,-123.2109,Ukiah
37.59927,-122.06561,Union City
34.10724,-117.68629,Upland
38.36646,-121.96114,Vacaville
34.21504,-118.44821,Van Nuys
34.20186,-118.5007,Van Nuys (Balboa)
34.26841,-119.27283,Ventura
34.52112,-117.32202,Victorville
36.31346,-119.31423,Visalia
33.18455,-117.28496,Vista
31.5514,-97.12444,Waco
37.1278,-113.52311,Washington City
34.0714,-117.88194,West Covina (Garvey Ave.)
34.08978,-117.94092,West Covina (San Bernardino Rd.)
40.60978,-111.98588,West Jordan
34.02646,-118.39427,West Los Angeles
38.59157,-121.55012,West Sacramento
40.69142,-111.95765,West Valley City
33.95369,-118.39677,Westchester
34.14764,-118.79711,Westlake Village
33.75871,-118.01959,Westminster
34.06306,-118.44803,Westwood
29.51138,-98.39647,Windcrest
38.67024,-121.72802,Woodland
34.17195,-118.56664,Woodland Hills
39.13592,-121.63516,Yuba City
34.02775,-117.11733,Yucaipa
32.69905,-114.60057,Yuma
